,property_type,society,sector,price,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
0,flat,m3m soulitude,sector 89,1.25,8784.0,3.0,3.0,0,4.0,New Property,1423.0,0.0,0.0,0.0,0.0,0.0,2.0,61.0,"28.4253° N, 76.9439° E",28.4253,76.9439
1,flat,greenopolis,sector 89,0.65,5196.0,2.0,2.0,2,15.0,Under Construction,1390.0,0.0,0.0,0.0,0.0,0.0,2.0,37.0,"28.4253° N, 76.9439° E",28.4253,76.9439
2,house,greenopolis,sector 89,0.7,5397.0,2.0,2.0,2,14.0,New Property,1297.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,"28.4253° N, 76.9439° E",28.4253,76.9439
3,flat,smart world gems,sector 89,0.95,8597.0,2.0,2.0,2,4.0,New Property,1226.0,1.0,1.0,0.0,0.0,0.0,2.0,38.0,"28.4253° N, 76.9439° E",28.4253,76.9439
4,flat,ats marigold,sector 89,1.7,9714.0,3.0,3.0,3+,8.0,Under Construction,1944.0,1.0,0.0,0.0,0.0,0.0,2.0,65.0,"28.4253° N, 76.9439° E",28.4253,76.9439
5,flat,smart world gems,sector 89,0.9,8145.0,2.0,2.0,2,1.0,New Property,1105.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,"28.4253° N, 76.9439° E",28.4253,76.9439
6,flat,greenopolis,sector 89,0.8,4819.0,2.0,3.0,3,8.0,Under Construction,1502.0,1.0,0.0,0.0,0.0,1.0,2.0,60.0,"28.4253° N, 76.9439° E",28.4253,76.9439
7,flat,smart world gems,sector 89,1.3,9136.0,3.0,3.0,2,2.0,New Property,1581.0,1.0,0.0,0.0,0.0,0.0,2.0,44.0,"28.4253° N, 76.9439° E",28.4253,76.9439
8,flat,tulip petals,sector 89,1.55,10000.0,3.0,2.0,3,6.0,Moderately Old,1403.0,0.0,0.0,1.0,0.0,0.0,0.0,111.0,"28.4253° N, 76.9439° E",28.4253,76.9439
9,flat,smart world gems,sector 89,0.9,8160.0,2.0,2.0,2,3.0,New Property,998.0,1.0,0.0,0.0,0.0,1.0,2.0,95.0,"28.4253° N, 76.9439° E",28.4253,76.9439
10,flat,ats marigold,sector 89,1.5,8499.0,3.0,3.0,3,5.0,Under Construction,1480.0,0.0,0.0,0.0,0.0,0.0,2.0,96.0,"28.4253° N, 76.9439° E",28.4253,76.9439
